days,readings
282,"Mark 3, Luke 6, Matthew 12:1-21"
283,Matthew 5-7
284,"Luke 7, Matthew 8:1-13"
285,Matthew 11
286,"Luke 11, Matthew 12:22-50"
287,"Luke 8, Matthew 13"
288,"Mark 4-5, Matthew 8:14-34"
289,Matthew 9-10
290,"Mark 6, Luke 9:1-17, Matthew 14"
291,John 6
292,"Mark 7, Matthew 15"
293,"Mark 8, Luke 9:18-27, Matthew 16"
294,"Mark 9, Luke 9:28-62, Matthew 17"
295,Matthew 18
296,John 7-8
297,John 9:1-10:21
298,"John 10:22-42, Luke 10-11"
299,Luke 12-13
300,Luke 14-15
301,Luke 16:1-17:10
302,John 11
303,Luke 17:11-18:14
304,"Mark 10, Matthew 19"
305,Matthew 20-21
306,Luke 18:15-19:48
307,"Mark 11, John 12"
308,"Mark 12, Matthew 22"
309,"Luke 20-21, Matthew 23"
310,Mark 13
311,Matthew 24
312,Matthew 25
313,"Mark 14, Matthew 26"
314,"John 13, Luke 22"
315,John 14-17
316,"Mark 15, Matthew 27"
317,"John 18-19, Luke 23"
318,"Mark 16, Matthew 28"
319,"John 20-21, Luke 24"
320,Acts 1-3
321,Acts 4-6
322,Acts 7-8
323,Acts 9-10
324,Acts 11-12
325,Acts 13-14
326,James 1-5
327,Acts 15-16
328,Galatians 1-3
329,Galatians 4-6
330,Acts 17:1-18:18
331,"1 Thessalonians 1-5, 2 Thessalonians 1-3"
332,Acts 18:19-19:41
333,1 Corinthians 1-4
334,1 Corinthians 5-8
335,1 Corinthians 9-11
336,1 Corinthians 12-14
337,1 Corinthians 15-16
338,2 Corinthians 1-4
339,2 Corinthians 5-9
340,2 Corinthians 10-13
341,"Romans 1-3, Acts 20:1-3"
342,Romans 4-7
343,Romans 8-10
344,Romans 11-13
345,Romans 14-16
346,Acts 20:4-23:35
347,Acts 24-26
348,Acts 27-28
349,"Philemon 1, Colossians 1-4"
350,Ephesians 1-6
351,Philippians 1-4
352,1 Timothy 1-6
353,Titus 1-3
354,1 Peter 1-5
355,Hebrews 1-6
356,Hebrews 7-10
357,Hebrews 11-13
358,2 Timothy 1-4
359,"Jude 1, 2 Peter 1-3"
360,1 John 1-5
361,"2 John 1, 3 John 1"
362,Revelation 1-5
363,Revelation 6-11
364,Revelation 12-18
365,Revelation 19-22
,
,
,
,
,
,
,
,
,
,
,

